ID,A,B,NEITHER
development-1,0.6293002784252166,0.29793107956647874,0.0727686569094658
development-2,0.9475939869880676,0.016604520939290525,0.03580149877816439
development-3,0.09111508205533028,0.8605820894241333,0.048302849754691124
development-4,0.043175183981657025,0.8092823982238769,0.14754240959882736
development-5,0.06487387660890817,0.8919525265693664,0.043173563294112684
development-6,0.9180537581443786,0.05245377235114575,0.029492438212037085
development-7,0.6932417869567871,0.15760225504636766,0.149155955016613
development-8,0.17340035140514373,0.5712948322296143,0.2553048342466354
development-9,0.010712425550445914,0.9755764842033386,0.013711111433804036
development-10,0.7161241054534913,0.24065246284008027,0.043223436921834946
development-11,0.10531857758760452,0.48868764042854307,0.4059938132762909
development-12,0.9247411489486694,0.044632375426590445,0.030626460909843445
development-13,0.6436123788356781,0.3052693158388138,0.05111831277608871
development-14,0.7039219260215759,0.2256421849131584,0.07043587043881416
development-15,0.3672808036208153,0.5550210475921631,0.0776981346309185
development-16,0.6003328263759613,0.23088606595993041,0.16878108233213424
development-17,0.17884078472852707,0.7334707856178284,0.08768841475248337
development-18,0.5593551933765412,0.12913203090429307,0.3115127444267273
development-19,0.09261160641908646,0.6810591518878937,0.22632922679185868
development-20,0.1017020832747221,0.7775011181831359,0.12079677879810333
development-21,0.020002373680472373,0.9472752809524536,0.032722360268235204
development-22,0.9299832820892334,0.04973066560924053,0.020286017470061778
development-23,0.9659493327140808,0.022118748258799316,0.011931900074705482
development-24,0.10538941100239754,0.8389225602149963,0.05568796917796135
development-25,0.9619092106819153,0.02559897806495428,0.012491799145936965
development-26,0.00471130998339504,0.9902789711952209,0.005009740451350808
development-27,0.1674537293612957,0.802357304096222,0.030188937112689017
development-28,0.8989017248153687,0.0812898151576519,0.019808414205908776
development-29,0.45265390276908873,0.42721458375453947,0.12013151943683624
development-30,0.9775776147842408,0.01598394038155675,0.006438423972576856
development-31,0.5090755492448806,0.45697357356548307,0.03395086750388145
development-32,0.21875180006027223,0.20510170459747315,0.5761465013027192
