ID,A,B,NEITHER
development-1,0.9632855363116362,0.027955877037899972,0.008758586650463918
development-2,0.9829376999140053,0.009229962064505876,0.007832338021488883
development-3,0.008142680568138083,0.9844761267064985,0.0073811927253634
development-4,0.027635904573990032,0.9032743609196408,0.06908973450636924
development-5,0.029437630353519345,0.95759146568027,0.012970903966210676
development-6,0.9654796288120453,0.02402333105506123,0.010497040132893548
development-7,0.8746178969046703,0.021787094599481645,0.10359500849584795
development-8,0.01302560514754778,0.9769637415796023,0.010010653272849824
development-9,0.0066728513227142724,0.9882231096843388,0.005104038992946951
development-10,0.5993435117070108,0.3721876959135992,0.02846879237939003
development-11,0.009221492288661468,0.9810518728379835,0.009726634873355105
development-12,0.891442824209516,0.08043876063815106,0.028118415152332876
development-13,0.08849436351610664,0.8953430030063846,0.01616263347750887
development-14,0.9723936830190807,0.018885065725831787,0.008721251255087594
development-15,0.014114585053594586,0.9744316496873828,0.011453765259022638
development-16,0.15809165908359574,0.5186308273302567,0.32327751358614765
development-17,0.9491038658392661,0.026164069449463277,0.0247320647112707
development-18,0.053442199258521464,0.03453558940078575,0.9120222113406926
development-19,0.05343367036334966,0.9343798774281838,0.012186452208466566
development-20,0.01958257382851317,0.9468356803450442,0.03358174582644265
development-21,0.009496017215421402,0.9856530673853703,0.004850915399208346
development-22,0.9880536698627631,0.006636835219519204,0.0053094949177176776
development-23,0.9918515875579823,0.004462150329325213,0.003686262112692425
development-24,0.030897407262683717,0.8878068208698542,0.08129577186746212
development-25,0.9818011557934714,0.010998310602739831,0.007200533603788703
development-26,0.005167751704622069,0.9900041888903118,0.004828059405066204
development-27,0.17641849989798625,0.7718885410612856,0.05169295904072817
development-28,0.9806815930404872,0.0102140805911816,0.009104326368331228
development-29,0.19313652530253894,0.7897469497852766,0.017116524912184468
development-30,0.9840250859680026,0.01084782949990286,0.005127084532094385
development-31,0.09907126431248217,0.8513450482409445,0.04958368744657333
development-32,0.035104194353781024,0.021744121063196297,0.9431516845830228
development-33,0.029169111318778966,0.9603229859907646,0.010507902690456459
development-34,0.22777876364534558,0.09875647411415948,0.673464762240495
development-35,0.9600160276257743,0.015813389196457316,0.024170583177768355
development-36,0.08807738963907265,0.890694259396913,0.021228350964014323
development-37,0.01046081256854726,0.9808684807051284,0.008670706726324372
development-38,0.043451791904426884,0.9255357135443468,0.031012494551226334
development-39,0.9890408927582517,0.0058080331001067916,0.005151074141641581
development-40,0.9723077132149667,0.015509373599740906,0.012182913185292299
development-41,0.12638830743803314,0.053102106965918904,0.8205095855960479
development-42,0.9856538639636556,0.009127888478009324,0.005218247558335176
development-43,0.02463254839731032,0.9627098690883107,0.01265758251437885
development-44,0.00987005839548086,0.9834049389106717,0.006725002693847413
development-45,0.22727421772639206,0.7577807403688281,0.014945041904779919
development-46,0.0478639376612589,0.055149060978348,0.8969870013603931
development-47,0.023441864963775823,0.94005500676806,0.03650312826816419
development-48,0.008047136374180629,0.9856463306476432,0.006306532978176188
development-49,0.8319540578260453,0.12708698085928705,0.040958961314667655
development-50,0.04428451112481748,0.026238060867674808,0.9294774280075077
development-51,0.010858031783415914,0.9812905325543998,0.007851435662184223
development-52,0.014826317827405034,0.9784159602790744,0.006757721893520463
development-53,0.0535214150161052,0.9276181266954939,0.018860458288400744
development-54,0.06742134231526441,0.3142055412088597,0.6183731164758759
development-55,0.00782300031959611,0.9847830882803047,0.0073939114000992155
development-56,0.04589083981530906,0.09821993566583678,0.8558892245188542
development-57,0.01573714105771194,0.9744359344138971,0.009826924528391118
development-58,0.6207678311434062,0.2926471869133008,0.08658498194329294
development-59,0.9797836166380774,0.013457011304387667,0.006759372057534907
development-60,0.9896684327048769,0.005758355806263932,0.004573211488859187
development-61,0.012693230605721922,0.9776114908256488,0.009695278568629197
development-62,0.851327040193271,0.13329126923445694,0.015381690572272011
development-63,0.4679178478063403,0.4968166491620103,0.035265503031649305
development-64,0.055829076289510435,0.8478774138766564,0.09629350983383318
development-65,0.004963110317094856,0.9907763626959696,0.00426052698693557
development-66,0.011503649954207341,0.9779533435550739,0.010543006490718723
development-67,0.9315467044008405,0.03540160072299758,0.03305169487616193
development-68,0.16306780791847095,0.05000236769234674,0.7869298243891824
development-69,0.04817135191829234,0.9183814296764421,0.03344721840526553
development-70,0.9854206233754566,0.008829158255404144,0.005750218369139272
development-71,0.009815664587365911,0.9845215550845356,0.005662780328098409
development-72,0.9843656257327392,0.007391834870477372,0.008242539396783318
development-73,0.1559616879587678,0.06629134709733772,0.7777469649438944
development-74,0.980367551148513,0.007884878105416476,0.011747570746070485
development-75,0.02685538280149158,0.958450949454764,0.014693667743744514
development-76,0.9844565010809632,0.006665327764148551,0.008878171154888374
development-77,0.008439118497592634,0.981223019038192,0.010337862464215404
development-78,0.015526409375600883,0.9715062683036351,0.012967322320764047
